geometry,imagery_date,imagery_source,parcel_geometry,geometry_wkt
b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00 x\x95]\xc0\x16\x90s\xe9\xca\xe9@@\x00\x00\x00 x\x95]\xc0\x13\x1c\xf4\x90\xc1\xe9@@\x00\x00\x00\x80r\x95]\xc0\x13\x1c\xf4\x90\xc1\xe9@@\x00\x00\x00\x80r\x95]\xc0\x16\x90s\xe9\xca\xe9@@\x00\x00\x00 x\x95]\xc0\x16\x90s\xe9\xca\xe9@@',2023-08-04 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban-r|us-ca-losangeles_rf08-2023:1725360,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x88y\x95]\xc0\x17m\x93?\xcd\xe9@@\x00\x00\x00\x88y\x95]\xc0\x12?\xd4:\xbf\xe9@@\x00\x00\x00\x18q\x95]\xc0\x12?\xd4:\xbf\xe9@@\x00\x00\x00\x18q\x95]\xc0\x17m\x93?\xcd\xe9@@\x00\x00\x00\x88y\x95]\xc0\x17m\x93?\xcd\xe9@@',"POLYGON ((-118.33545684814453 33.826504880358854, -118.33545684814453 33.82621967238824, -118.33511352539062 33.82621967238824, -118.33511352539062 33.826504880358854, -118.33545684814453 33.826504880358854))"
b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x00\xb0\x9b]\xc0\xda\x94-\x9e\xae\xfa@@\x00\x00\x00\x00\xb0\x9b]\xc0\xf4\xf1`I\xa5\xfa@@\x00\x00\x00`\xaa\x9b]\xc0\xf4\xf1`I\xa5\xfa@@\x00\x00\x00`\xaa\x9b]\xc0\xda\x94-\x9e\xae\xfa@@\x00\x00\x00\x00\xb0\x9b]\xc0\xda\x94-\x9e\xae\xfa@@',2023-08-04 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban-r|us-ca-losangeles_rf08-2023:1725360,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00h\xb1\x9b]\xc0\x94\xbd`\xf3\xb0\xfa@@\x00\x00\x00h\xb1\x9b]\xc0;\xc9-\xf4\xa2\xfa@@\x00\x00\x00\xf8\xa8\x9b]\xc0;\xc9-\xf4\xa2\xfa@@\x00\x00\x00\xf8\xa8\x9b]\xc0\x94\xbd`\xf3\xb0\xfa@@\x00\x00\x00h\xb1\x9b]\xc0\x94\xbd`\xf3\xb0\xfa@@',"POLYGON ((-118.4326171875 33.958453914887016, -118.4326171875 33.958169147812356, -118.4322738647461 33.958169147812356, -118.4322738647461 33.958453914887016, -118.4326171875 33.958453914887016))"
b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\xa0\xa7\xa3T\xc0\xca\xbd\xe2\xbct\x84;@\x00\x00\x00\xa0\xa7\xa3T\xc03%\x81\xc8`\x84;@\x00\x00\x00\x00\xa2\xa3T\xc03%\x81\xc8`\x84;@\x00\x00\x00\x00\xa2\xa3T\xc0\xca\xbd\xe2\xbct\x84;@\x00\x00\x00\xa0\xa7\xa3T\xc0\xca\xbd\xe2\xbct\x84;@',2023-05-15 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban-r|us-fl-tampa_rf08-2023:1725386,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x08\xa9\xa3T\xc0\xf2#\xfb\xb9y\x84;@\x00\x00\x00\x08\xa9\xa3T\xc0\x0e\xbfh\xcb[\x84;@\x00\x00\x00\x98\xa0\xa3T\xc0\x0e\xbfh\xcb[\x84;@\x00\x00\x00\x98\xa0\xa3T\xc0\xf2#\xfb\xb9y\x84;@\x00\x00\x00\x08\xa9\xa3T\xc0\xf2#\xfb\xb9y\x84;@',"POLYGON ((-82.5571060180664 27.517406277996805, -82.5571060180664 27.51710179474794, -82.5567626953125 27.51710179474794, -82.5567626953125 27.517406277996805, -82.5571060180664 27.517406277996805))"
b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00`\xe0\x14T\xc0\xac\x0fsQx\xc79@\x00\x00\x00`\xe0\x14T\xc07)\xb2\x0ed\xc79@\x00\x00\x00\xc0\xda\x14T\xc07)\xb2\x0ed\xc79@\x00\x00\x00\xc0\xda\x14T\xc0\xac\x0fsQx\xc79@\x00\x00\x00`\xe0\x14T\xc0\xac\x0fsQx\xc79@',2023-05-02 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban-r|us-fl-miami_rf05-2023:1725384,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\xc8\xe1\x14T\xc0HI#b}\xc79@\x00\x00\x00\xc8\xe1\x14T\xc0\x98\xef\x01\xfe^\xc79@\x00\x00\x00X\xd9\x14T\xc0\x98\xef\x01\xfe^\xc79@\x00\x00\x00X\xd9\x14T\xc0HI#b}\xc79@\x00\x00\x00\xc8\xe1\x14T\xc0HI#b}\xc79@',"POLYGON ((-80.3261947631836 25.779179659453504, -80.3261947631836 25.778870504852616, -80.32585144042969 25.778870504852616, -80.32585144042969 25.779179659453504, -80.3261947631836 25.779179659453504))"
b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x80\xb9\x0cT\xc0\x9fXi+\x81\xc09@\x00\x00\x00\x80\xb9\x0cT\xc0<\x0fx\xe7l\xc09@\x00\x00\x00\xe0\xb3\x0cT\xc0<\x0fx\xe7l\xc09@\x00\x00\x00\xe0\xb3\x0cT\xc0\x9fXi+\x81\xc09@\x00\x00\x00\x80\xb9\x0cT\xc0\x9fXi+\x81\xc09@',2023-05-02 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban-r|us-fl-miami_rf05-2023:1725384,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\xe8\xba\x0cT\xc0\xf8\xaae<\x86\xc09@\x00\x00\x00\xe8\xba\x0cT\xc0\xe4\xbc{\xd6g\xc09@\x00\x00\x00x\xb2\x0cT\xc0\xe4\xbc{\xd6g\xc09@\x00\x00\x00x\xb2\x0cT\xc0\xf8\xaae<\x86\xc09@\x00\x00\x00\xe8\xba\x0cT\xc0\xf8\xaae<\x86\xc09@',"POLYGON ((-80.19882202148438 25.751970971316606, -80.19882202148438 25.751661745845226, -80.19847869873047 25.751661745845226, -80.19847869873047 25.751970971316606, -80.19882202148438 25.751970971316606))"
b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00`%{]\xc0\x02\x1c\x06e#\x05A@\x00\x00\x00`%{]\xc0JD\x85\x12\x1a\x05A@\x00\x00\x00\xc0\x1f{]\xc0JD\x85\x12\x1a\x05A@\x00\x00\x00\xc0\x1f{]\xc0\x02\x1c\x06e#\x05A@\x00\x00\x00`%{]\xc0\x02\x1c\x06e#\x05A@',2023-08-04 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban-r|us-ca-losangeles_rf08-2023:1725360,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\xc8&{]\xc0\xf0Q\xa6\xb9%\x05A@\x00\x00\x00\xc8&{]\xc0\\\x0e\xe5\xbd\x17\x05A@\x00\x00\x00X\x1e{]\xc0\\\x0e\xe5\xbd\x17\x05A@\x00\x00\x00X\x1e{]\xc0\xf0Q\xa6\xb9%\x05A@\x00\x00\x00\xc8&{]\xc0\xf0Q\xa6\xb9%\x05A@',"POLYGON ((-117.92415618896484 34.04014265821753, -117.92415618896484 34.03985816485563, -117.92381286621094 34.03985816485563, -117.92381286621094 34.04014265821753, -117.92415618896484 34.04014265821753))"
b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x00\xee\x1bT\xc0\xd7\x88\xaf>u\x829@\x00\x00\x00\x00\xee\x1bT\xc0f\x0f4\xf0`\x829@\x00\x00\x00`\xe8\x1bT\xc0f\x0f4\xf0`\x829@\x00\x00\x00`\xe8\x1bT\xc0\xd7\x88\xaf>u\x829@\x00\x00\x00\x00\xee\x1bT\xc0\xd7\x88\xaf>u\x829@',2023-05-02 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban-r|us-fl-miami_rf05-2023:1725384,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00h\xef\x1bT\xc04gNRz\x829@\x00\x00\x00h\xef\x1bT\xc0\n1\x95\xdc[\x829@\x00\x00\x00\xf8\xe6\x1bT\xc0\n1\x95\xdc[\x829@\x00\x00\x00\xf8\xe6\x1bT\xc04gNRz\x829@\x00\x00\x00h\xef\x1bT\xc04gNRz\x829@',"POLYGON ((-80.4364013671875 25.509601514678106, -80.4364013671875 25.509291660985944, -80.4360580444336 25.509291660985944, -80.4360580444336 25.509601514678106, -80.4364013671875 25.509601514678106))"
b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\xe0\x06G]\xc0\xaf.B@\x08d@@\x00\x00\x00\xe0\x06G]\xc0\x93Q\xeb\xca\xfec@@\x00\x00\x00@\x01G]\xc0\x93Q\xeb\xca\xfec@@\x00\x00\x00@\x01G]\xc0\xaf.B@\x08d@@\x00\x00\x00\xe0\x06G]\xc0\xaf.B@\x08d@@',2023-02-03 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban|us-ca-santee-2023:1717775,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00H\x08G]\xc0\xf5\xe5\x97\x9d\nd@@\x00\x00\x00H\x08G]\xc0K\x9a\x95m\xfcc@@\x00\x00\x00\xd8\xffF]\xc0K\x9a\x95m\xfcc@@\x00\x00\x00\xd8\xffF]\xc0\xf5\xe5\x97\x9d\nd@@\x00\x00\x00H\x08G]\xc0\xf5\xe5\x97\x9d\nd@@',"POLYGON ((-117.10979461669922 32.78150180083809, -117.10979461669922 32.781213154699024, -117.10945129394531 32.781213154699024, -117.10945129394531 32.78150180083809, -117.10979461669922 32.78150180083809))"
"b""\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\xa0Q\tT\xc0z\xb5\xfac\xa2':@\x00\x00\x00\xa0Q\tT\xc0\x89\xba\xc21\x8e':@\x00\x00\x00\x00L\tT\xc0\x89\xba\xc21\x8e':@\x00\x00\x00\x00L\tT\xc0z\xb5\xfac\xa2':@\x00\x00\x00\xa0Q\tT\xc0z\xb5\xfac\xa2':@""",2023-01-06 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban|us-fl-fortlauderdale-2023:1717790,"b""\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x08S\tT\xc06\xb4\x88p\xa7':@\x00\x00\x00\x08S\tT\xc0\xcc\xbb4%\x89':@\x00\x00\x00\x98J\tT\xc0\xcc\xbb4%\x89':@\x00\x00\x00\x98J\tT\xc06\xb4\x88p\xa7':@\x00\x00\x00\x08S\tT\xc06\xb4\x88p\xa7':@""","POLYGON ((-80.1456069946289 26.15482163306067, -80.1456069946289 26.154513464013267, -80.145263671875 26.154513464013267, -80.145263671875 26.15482163306067, -80.1456069946289 26.15482163306067))"
b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\xa0\xcflT\xc0\x9c\xeb\x9e\x85\xe5(:@\x00\x00\x00\xa0\xcflT\xc0\x12\xe1\x9eS\xd1(:@\x00\x00\x00\x00\xcalT\xc0\x12\xe1\x9eS\xd1(:@\x00\x00\x00\x00\xcalT\xc0\x9c\xeb\x9e\x85\xe5(:@\x00\x00\x00\xa0\xcflT\xc0\x9c\xeb\x9e\x85\xe5(:@',2023-05-01 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban-r|us-fl-sarasota_rf05-2023:1725385,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x08\xd1lT\xc0?\xee\x1e\x92\xea(:@\x00\x00\x00\x08\xd1lT\xc0q\xde\x1eG\xcc(:@\x00\x00\x00\x98\xc8lT\xc0q\xde\x1eG\xcc(:@\x00\x00\x00\x98\xc8lT\xc0?\xee\x1e\x92\xea(:@\x00\x00\x00\x08\xd1lT\xc0?\xee\x1e\x92\xea(:@',"POLYGON ((-81.7001724243164 26.159752227114595, -81.7001724243164 26.15944407109152, -81.6998291015625 26.15944407109152, -81.6998291015625 26.159752227114595, -81.7001724243164 26.159752227114595))"
b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\xa0]WT\xc0\xb9\xfd\xbe\x01\xeb1>@\x00\x00\x00\xa0]WT\xc0\x981C\x8f\xd71>@\x00\x00\x00\x00XWT\xc0\x981C\x8f\xd71>@\x00\x00\x00\x00XWT\xc0\xb9\xfd\xbe\x01\xeb1>@\x00\x00\x00\xa0]WT\xc0\xb9\xfd\xbe\x01\xeb1>@',2023-03-12 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban|us-fl-stjohns-2023:1717805,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x08_WT\xc0\xc2\xf0]\xde\xef1>@\x00\x00\x00\x08_WT\xc0\x90>\xa4\xb2\xd21>@\x00\x00\x00\x98VWT\xc0\x90>\xa4\xb2\xd21>@\x00\x00\x00\x98VWT\xc0\xc2\xf0]\xde\xef1>@\x00\x00\x00\x08_WT\xc0\xc2\xf0]\xde\xef1>@',"POLYGON ((-81.3650894165039 30.194992169502914, -81.3650894165039 30.1946954287574, -81.36474609375 30.1946954287574, -81.36474609375 30.194992169502914, -81.3650894165039 30.194992169502914))"
"b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\xa0\xbaK]\xc0\xe5\xcdS\x086{@@\x00\x00\x00\xa0\xbaK]\xc0\xb1\xae\xed\x97,{@@\x00\x00\x00\x00\xb5K]\xc0\xb1\xae\xed\x97,{@@\x00\x00\x00\x00\xb5K]\xc0\xe5\xcdS\x086{@@\x00\x00\x00\xa0\xbaK]\xc0\xe5\xcdS\x086{@@'",2023-02-03 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban|us-ca-santee-2023:1717775,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x08\xbcK]\xc0\xb3Umd8{@@\x00\x00\x00\x08\xbcK]\xc0\xe5&\xd4;*{@@\x00\x00\x00\x98\xb3K]\xc0\xe5&\xd4;*{@@\x00\x00\x00\x98\xb3K]\xc0\xb3Umd8{@@\x00\x00\x00\x08\xbcK]\xc0\xb3Umd8{@@',"POLYGON ((-117.18326568603516 32.96258644191747, -117.18326568603516 32.96229838471971, -117.18292236328125 32.96229838471971, -117.18292236328125 32.96258644191747, -117.18326568603516 32.96258644191747))"
b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00 \xe2\x84^\xc0\xbce\xd4C\x9f\xedB@\x00\x00\x00 \xe2\x84^\xc0$\x1f\xeba\x96\xedB@\x00\x00\x00\x80\xdc\x84^\xc0$\x1f\xeba\x96\xedB@\x00\x00\x00\x80\xdc\x84^\xc0\xbce\xd4C\x9f\xedB@\x00\x00\x00 \xe2\x84^\xc0\xbce\xd4C\x9f\xedB@',2023-05-13 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban|us-ca-concord-2023:1717759,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x88\xe3\x84^\xc0b\xb7N|\xa1\xedB@\x00\x00\x00\x88\xe3\x84^\xc0~\xcdp)\x94\xedB@\x00\x00\x00\x18\xdb\x84^\xc0~\xcdp)\x94\xedB@\x00\x00\x00\x18\xdb\x84^\xc0b\xb7N|\xa1\xedB@\x00\x00\x00\x88\xe3\x84^\xc0b\xb7N|\xa1\xedB@',"POLYGON ((-122.07630157470703 37.85642288084952, -122.07630157470703 37.85615180950688, -122.07595825195312 37.85615180950688, -122.07595825195312 37.85642288084952, -122.07630157470703 37.85642288084952))"
b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x00O\x06T\xc0k\x04\xf9\x18\xf9+:@\x00\x00\x00\x00O\x06T\xc0\xd2[\x81\xe7\xe4+:@\x00\x00\x00`I\x06T\xc0\xd2[\x81\xe7\xe4+:@\x00\x00\x00`I\x06T\xc0k\x04\xf9\x18\xf9+:@\x00\x00\x00\x00O\x06T\xc0k\x04\xf9\x18\xf9+:@',2023-01-06 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban|us-fl-fortlauderdale-2023:1717790,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00hP\x06T\xc0\x92\xeeV%\xfe+:@\x00\x00\x00hP\x06T\xc0\xaeq#\xdb\xdf+:@\x00\x00\x00\xf8G\x06T\xc0\xaeq#\xdb\xdf+:@\x00\x00\x00\xf8G\x06T\xc0\x92\xeeV%\xfe+:@\x00\x00\x00hP\x06T\xc0\x92\xeeV%\xfe+:@',"POLYGON ((-80.09857177734375 26.171769676966885, -80.09857177734375 26.171461552697856, -80.09822845458984 26.171461552697856, -80.09822845458984 26.171769676966885, -80.09857177734375 26.171769676966885))"
b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\xa0\x9c\x18T\xc0C\xb1\xbd\xe7\x81\x1f:@\x00\x00\x00\xa0\x9c\x18T\xc0^\xc8\x1d\xb4m\x1f:@\x00\x00\x00\x00\x97\x18T\xc0^\xc8\x1d\xb4m\x1f:@\x00\x00\x00\x00\x97\x18T\xc0C\xb1\xbd\xe7\x81\x1f:@\x00\x00\x00\xa0\x9c\x18T\xc0C\xb1\xbd\xe7\x81\x1f:@',2023-01-06 00:00:00+00:00,sv2:vexcel_urban_vertical_jpg:2023|urban|us-fl-fortlauderdale-2023:1717790,b'\x01\x03\x00\x00\x00\x01\x00\x00\x00\x05\x00\x00\x00\x00\x00\x00\x08\x9e\x18T\xc0|\xab\xa5\xf4\x86\x1f:@\x00\x00\x00\x08\x9e\x18T\xc0$\xce5\xa7h\x1f:@\x00\x00\x00\x98\x95\x18T\xc0$\xce5\xa7h\x1f:@\x00\x00\x00\x98\x95\x18T\xc0|\xab\xa5\xf4\x86\x1f:@\x00\x00\x00\x08\x9e\x18T\xc0|\xab\xa5\xf4\x86\x1f:@',"POLYGON ((-80.38455963134766 26.123075946628216, -80.38455963134766 26.122767693778194, -80.38421630859375 26.122767693778194, -80.38421630859375 26.123075946628216, -80.38455963134766 26.123075946628216))"
